mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
22	22	33	33	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	88									3				
22	22	34	34	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	89									3				
22	22	137/4	137/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	90													
22	22	33	33	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	91													
22	22	67/2	67/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	92													
22	22	34	34	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	93													
23	23	69/2	69/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	94									4				
23	23	71/2	71/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	95									4				
23	23	143/4	143/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	96													
23	23	69/2	69/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	97													
23	23	35	35	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	98													
23	23	71/2	71/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	99													
24	24	36	36	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	100									5				
24	24	37	37	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	101									5				
24	24	149/4	149/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	102													
24	24	36	36	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	103													
24	24	73/2	73/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	104													
24	24	37	37	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	105													
25	25	75/2	75/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	106									6				
25	25	77/2	77/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	107									6				
25	25	155/4	155/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	108													
25	25	75/2	75/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	109													
25	25	38	38	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	110													
25	25	77/2	77/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	111													
26	26	39	39	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	112									7				
26	26	40	40	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	113									7				
26	26	161/4	161/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	114													
26	26	39	39	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	115													
26	26	79/2	79/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	116													
26	26	40	40	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	117													
27	27	81/2	81/2	0.375	0	0	Chord	3/8	1	1	3/32	1/8	3/4	118									8				
27	27	327/8	327/8	0.0	3/32	3/32	StaffText	3/8	1	1	0						<i>ritard. molto</i>						8				
27	27	327/8	327/8	0.375	3/32	3/32	Chord	3/8	1	1	3/32	1/8	3/4	119									8				
27	27	165/4	165/4	0.375	3/16	3/16	Chord	3/8	1	1	3/32	1/8	3/4	120		articStaccatoAbove							8				
27	27	333/8	333/8	0.375	9/32	9/32	Chord	3/8	1	1	3/32	1/8	3/4	121		articStaccatoAbove							8				
