mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	41		articStaccatoBelow										1
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	42		articStaccatoBelow										1
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	43		articStaccatoBelow										1
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	44		articStaccatoBelow										1
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	45		articStaccatoBelow										
10	10	19	19	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	46		articStaccatoAbove										
11	11	20	20	0.0	0	0	Spanner	2/4	1	1	0																
11	11	20	20	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	47		articTenutoBelow										
11	11	20	20	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	48		articTenutoAbove										
12	12	22	22	0.0	0	0	SystemText	2/4	1	1	0								"<b/><font face=""ScoreText""/>"								
12	12	22	22	0.0	0	0	Spanner	2/4	1	1	0																2
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	49		articStaccatoBelow										2
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	50		articStaccatoBelow										2
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	51		articStaccatoBelow										2
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	52		articStaccatoBelow										2
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	53		articStaccatoBelow										
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	54		articStaccatoAbove										
13	13	24	24	0.0	0	0	Spanner	2/4	1	1	0																
13	13	24	24	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	55		articTenutoBelow										
13	13	24	24	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	56		articTenutoAbove										
14	14	26	26	0.0	0	0	SystemText	2/4	1	1	0								"<b/><font face=""ScoreText""/>"								
14	14	26	26	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	57		articStaccatoBelow										
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	58		articStaccatoBelow										
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	59		articStaccatoBelow										
14	14	55/2	55/2	0.0	3/8	3/8	StaffText	2/4	1	1	0							<i>molto accel.</i>									
14	14	55/2	55/2	0.0	3/8	3/8	Spanner	2/4	1	1	0															1	
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	60		articStaccatoBelow									1	
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	61												
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	62		articStaccatoBelow									1	
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	63		articStaccatoBelow									1	
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	64		articStaccatoBelow									1	
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	65		articStaccatoBelow									1	
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	66		articStaccatoBelow										
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	67		articStaccatoBelow										
16	16	30	30	0.0	0	0	Spanner	2/4	1	1	0																
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	68		articStaccatoBelow										
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	69		articStaccatoBelow										
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	70		articStaccatoBelow										
16	16	63/2	63/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																3
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	71		articStaccatoBelow										3
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	72												
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	73												
17	17	32	32	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	74		articStaccatoBelow										3
17	17	65/2	65/2	0.0	1/8	1/8	StaffText	2/4	1	1	0							<i>poco rit.</i>									3
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	75		articStaccatoBelow										3
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	76		articStaccatoBelow										3
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	77		articStaccatoBelow										3
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	78												
17	17	33	33	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	79												
18	18	34	34	0.0	0	0	Spanner	2/4	1	1	0																
18	18	34	34	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	80												
18	18	34	34	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	81		articTenutoAbove										
19	19	36	36	0.0	0	0	Tempo	2/4	1	1	0									𝅗𝅥=56	112.0	𝅗𝅥	56.0	1.0			
19	19	36	36	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	82										0		
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	83										0		
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	84		articStaccatoAbove										
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	85		articStaccatoAbove										
20	20	38	38	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	86		articTenutoAbove										
20	20	38	38	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	87		articTenutoAbove										
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	88										1		
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	89										1		
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	90										1		
21	21	40	40	0.0	0	0	StaffText	2/4	1	1	0							<i>poco rit.</i>									
21	21	40	40	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	91										2		
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	92										2		
21	21	41	41	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	93										2		
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	94												
21	21	40	40	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	95												
22	22	42	42	0.0	0	0	StaffText	2/4	1	1	0							<i>a tempo</i>									
22	22	42	42	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	96										3		
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	97										3		
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	98		articTenutoBelow										
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	99										4		
22	22	43	43	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	100										4		
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	101										4		
23	23	44	44	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	102										3		
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	103												
23	23	44	44	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	104												
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	105										5		
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	106										5		
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	107										5		
24	24	46	46	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	108										6		
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	109										6		
24	24	46	46	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	110												
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	111										7		
24	24	47	47	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	112										7		
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	113										7		
25	25	48	48	0.0	0	0	StaffText	2/4	1	1	0							<i>molto accel.</i>							6		
25	25	48	48	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	114		articStaccatoAbove								6		
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	115		articStaccatoAbove								6		
25	25	49	49	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	116		articStaccatoAbove								6		
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	117		articStaccatoAbove										
25	25	48	48	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	118												
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	119										8		
25	25	49	49	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	120										8		
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	121												
26	26	50	50	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	122		articStaccatoAbove										
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	123		articStaccatoAbove										
26	26	51	51	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	124		articStaccatoAbove										
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	125		articStaccatoAbove										
26	26	51	51	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	126												
27	27	52	52	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	127		articStaccatoBelow										
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	128		articStaccatoBelow										
27	27	53	53	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	129		articStaccatoBelow										
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	130		articStaccatoBelow										
27	27	52	52	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	131		articStaccatoAbove										
27	27	53	53	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	132		articStaccatoBelow										
28	28	54	54	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	133		articStaccatoAbove										
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	134		articStaccatoAbove										
28	28	55	55	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	135		articStaccatoAbove										
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	136		articStaccatoAbove										
28	28	55	55	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	137		articStaccatoAbove										
29	29	56	56	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	138		articStaccatoAbove										
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	139		articStaccatoAbove										
29	29	57	57	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	140		articStaccatoAbove										
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	141		articStaccatoAbove										
29	29	56	56	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	142		articStaccatoAbove										
29	29	57	57	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	143		articStaccatoAbove										
30	30	58	58	0.0	0	0	Dynamic	2/4	1	1	0					f											
30	30	58	58	0.0	0	0	Tempo	2/4	1	1	0									𝅗𝅥=84	168.0	𝅗𝅥	84.0	1.0			
30	30	58	58	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	144		articStaccatoAbove										
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	145		articStaccatoAbove										
30	30	59	59	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	146		articStaccatoAbove										
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	147		articStaccatoAbove										
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	148		articStaccatoBelow										
30	30	59	59	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	149		articStaccatoBelow										
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	150		articStaccatoBelow										
30	30	59	59	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	151		articStaccatoAbove										
31	31	60	60	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	152		articStaccatoAbove										
31	31	121/2	121/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	153		articStaccatoAbove										
31	31	61	61	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	154		articStaccatoAbove										
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	155		articStaccatoAbove										
31	31	121/2	121/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	156		articStaccatoBelow										
31	31	61	61	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	157		articStaccatoBelow										
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	158		articStaccatoBelow										
31	31	61	61	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	159		articStaccatoAbove										
32	32	62	62	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	160		articStaccatoAbove										
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	161		articStaccatoAbove										
32	32	63	63	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	162		articStaccatoAbove										
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	163		articStaccatoAbove										
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	164		articStaccatoBelow										
32	32	63	63	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	165		articStaccatoBelow										
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	166		articStaccatoBelow										
32	32	63	63	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	167		articStaccatoAbove										
33	33	64	64	0.0	0	0	StaffText	2/4	1	1	0							<i>ritard. molto</i>									
33	33	64	64	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	168		articTenutoStaccatoBelow										
33	33	129/2	129/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	169		articTenutoStaccatoBelow										
33	33	65	65	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	170		articTenutoBelow										
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	171		articTenutoBelow										
34	34	66	66	0.0	0	0	Tempo	2/4	1	1	0									𝅘𝅥=84	84.0	𝅘𝅥	84.0	1.0			
34	34	66	66	0.0	0	0	StaffText	2/4	1	1	0							<i>sostenuto molto</i>									
34	34	66	66	0.0	0	0	StaffText	2/4	1	1	0							<i>sempre</i>									
34	34	66	66	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	172		articTenutoBelow								9		
34	34	67	67	0.0	1/4	1/4	Dynamic	2/4	1	1	0					f									9		
34	34	67	67	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	173		articTenutoBelow								9		
34	34	66	66	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	174		articTenutoAbove										
34	34	67	67	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	175		articTenutoAbove										
35	35	68	68	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	176		articTenutoBelow								9		
35	35	69	69	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	177		articTenutoBelow								9		
35	35	68	68	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	178		articTenutoBelow										
35	35	69	69	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	179		articTenutoAbove										
36	36	70	70	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	180										9		
36	36	70	70	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	181												
37	37	72	72	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	182										9		
37	37	72	72	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	183												
38	38	74	74	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	184										9		
38	38	74	74	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	185												
39	39	76	76	0.0	0	0	Tempo	2/4	1	1	0									𝅘𝅥=69PiuSostenuto	69.0			1.0			
39	39	76	76	0.0	0	0	Dynamic	2/4	1	1	0					pp											
39	39	76	76	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	186												
39	39	77	77	0.0	1/4	1/4	StaffText	2/4	1	1	0							<i>dolce</i>									
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	187										10		
39	39	77	77	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	188		articStaccatoAbove										
39	39	77	77	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	189		articStaccatoBelow										
40	40	78	78	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	190										10		
40	40	157/2	157/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	191										10		
40	40	79	79	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	192		articStaccatoAbove										
40	40	79	79	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	193		articStaccatoBelow										
41	41	80	80	0.0	0	0	StaffText	2/4	1	1	0							<i>poco rit.</i>							10		
41	41	80	80	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	194										10		
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	195										10		
41	41	81	81	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	196		articStaccatoAbove										
41	41	81	81	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	197		articStaccatoBelow										
42	42	82	82	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	198										10		
42	42	165/2	165/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	199												
42	42	83	83	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	200		articStaccatoAbove										
42	42	83	83	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	201		articStaccatoBelow										
43	43	84	84	0.0	0	0	Tempo	2/4	1	1	0									𝅘𝅥=69	69.0	𝅘𝅥	69.0	1.0			
43	43	84	84	0.0	0	0	StaffText	2/4	1	1	0							<i>espress.</i>									
43	43	84	84	0.0	0	0	StaffText	2/4	1	1	0							<i>cresc.</i>									
43	43	84	84	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	202										11		
43	43	169/2	169/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	203										11		
43	43	85	85	0.0	1/4	1/4	StaffText	2/4	1	1	0							<i>a tempo</i>							11		
43	43	85	85	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	204		articStaccatoAbove										
43	43	85	85	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	205		articStaccatoBelow										
44	44	86	86	0.0	0	0	StaffText	2/4	1	1	0							<i>sempre accel.</i>									
44	44	86	86	0.0	0	0	Spanner	2/4	1	1	0															2	
44	44	86	86	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	206											2	
44	44	87	87	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	207		articStaccatoAbove										
44	44	87	87	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	208		articStaccatoBelow										
45	45	88	88	0.0	0	0	Spanner	2/4	1	1	0																
45	45	88	88	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	209										12		
45	45	179/2	179/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	210										12		
45	45	89	89	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	211		articStaccatoAbove										
45	45	89	89	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	212		articStaccatoBelow										
46	46	90	90	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	213										12		
46	46	181/2	181/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	214										12		
46	46	91	91	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	215		articStaccatoAbove										
46	46	91	91	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	216		articStaccatoBelow										
47	47	92	92	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	217										12		
47	47	185/2	185/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	218										12		
