mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
48	48	189/2	189/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	270												
48	48	95	95	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	271												
48	48	191/2	191/2	0.0	3/8	3/8	Spanner	2/4	1	1	0													0		
48	48	191/2	191/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	272										0		
49	49	96	96	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	273		articAccentAbove								0		
49	49	193/2	193/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	274										0		
49	49	97	97	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	275										0		
49	49	195/2	195/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	276										0		
50	50	98	98	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	277		articAccentAbove								0		
50	50	197/2	197/2	0.0	1/8	1/8	Spanner	2/4	1	1	0															
50	50	197/2	197/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	278												
50	50	99	99	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	279												
50	50	199/2	199/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	280												
51	51	100	100	0.0	0	0	Dynamic	2/4	1	1	0				p											
51	51	100	100	0.0	0	0	StaffText	2/4	1	1	0						<i>poco rubato</i>									
51	51	100	100	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	281		articAccentAbove										
51	51	201/2	201/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	282												
51	51	101	101	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	283												
51	51	203/2	203/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	284												
51	51	100	100	0.0	0	0	Dynamic	2/4	2	1	0				mf											
51	51	100	100	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	285		articMarcatoAbove										
52	52	102	102	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	286												
52	52	205/2	205/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	287												
52	52	103	103	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	288												
52	52	207/2	207/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	289												
52	52	102	102	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	290												
53	53	104	104	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	291												
53	53	209/2	209/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	292												
53	53	105	105	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	293												
53	53	211/2	211/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	294												
53	53	104	104	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	295												
54	54	106	106	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	296												
54	54	213/2	213/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	297												
54	54	107	107	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	298												
54	54	215/2	215/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	299												
54	54	106	106	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	300												
54	54	107	107	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	301		articStaccatoAbove										
54	54	215/2	215/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	302		articStaccatoAbove										
55	55	108	108	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	303												
55	55	217/2	217/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	304												
55	55	109	109	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	305												
55	55	219/2	219/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	306												
55	55	108	108	0.0	0	0	Spanner	2/4	2	1	0														2	
55	55	108	108	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	307		articStaccatoAbove							0		2	
55	55	217/2	217/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	308		articStaccatoAbove							0		2	
55	55	109	109	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	309		articStaccatoAbove							0		2	
55	55	219/2	219/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	310		articStaccatoAbove							0		2	
56	56	110	110	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	311												
56	56	221/2	221/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	312												
56	56	111	111	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	313												
56	56	223/2	223/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	314												
56	56	110	110	0.6666666666666666	0	0	Chord	2/4	2	1	1/6	1/4	2/3	315		articTenutoAbove							0		2	
56	56	332/3	332/3	0.6666666666666666	1/6	1/6	Chord	2/4	2	1	1/6	1/4	2/3	316		articTenutoAbove							0		2	
56	56	334/3	334/3	0.6666666666666666	1/3	1/3	Chord	2/4	2	1	1/6	1/4	2/3	317		articTenutoAbove									2	
57	57	112	112	0.0	0	0	Spanner	2/4	1	1	0														3	
57	57	112	112	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	318											3	
57	57	225/2	225/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	319											3	
57	57	113	113	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	320											3	
57	57	227/2	227/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	321											3	
57	57	112	112	0.0	0	0	Dynamic	2/4	2	1	0				sf											
57	57	112	112	0.0	0	0	Spanner	2/4	2	1	0															
57	57	112	112	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	322									1			
58	58	114	114	0.0	0	0	Spanner	2/4	1	1	0															
58	58	114	114	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	323												
58	58	229/2	229/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	324												
58	58	115	115	0.0	1/4	1/4	Spanner	2/4	1	1	0													1		
58	58	115	115	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	325										1		
58	58	231/2	231/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	326										1		
58	58	114	114	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	327									1			
59	59	116	116	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	328										1		
59	59	233/2	233/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	329										1		
59	59	117	117	0.0	1/4	1/4	Spanner	2/4	1	1	0															
59	59	117	117	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	330												
59	59	235/2	235/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	331												
59	59	116	116	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	332									1			
59	59	117	117	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	333		articStaccatoBelow							1			
59	59	235/2	235/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	334		articStaccatoBelow										
60	60	118	118	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	335												
60	60	237/2	237/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	336												
60	60	119	119	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	337												
60	60	239/2	239/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	338												
60	60	118	118	0.6666666666666666	0	0	Chord	2/4	2	1	1/6	1/4	2/3	339		articTenutoBelow							2			
60	60	356/3	356/3	0.6666666666666666	1/6	1/6	Chord	2/4	2	1	1/6	1/4	2/3	340		articTenutoBelow							2			
60	60	358/3	358/3	0.6666666666666666	1/3	1/3	Chord	2/4	2	1	1/6	1/4	2/3	341		articTenutoBelow							2			
61	61	120	120	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	342												
61	61	241/2	241/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	343												
61	61	121	121	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	344												
61	61	243/2	243/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	345												
61	61	120	120	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	346									2			
61	61	121	121	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	347												
62	62	122	122	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	348												
62	62	245/2	245/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	349												
62	62	123	123	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	350												
62	62	247/2	247/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	351												
62	62	122	122	0.0	0	0	Dynamic	2/4	2	1	0				sf											
62	62	122	122	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	352												
63	63	124	124	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	353												
63	63	249/2	249/2	0.0	1/8	1/8	Spanner	2/4	1	1	0														4	
63	63	249/2	249/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	354											4	
63	63	125	125	0.0	1/4	1/4	StaffText	2/4	1	1	0						<i>poco           rit.</i>								4	
63	63	125	125	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	355											4	
63	63	251/2	251/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	356											4	
63	63	124	124	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	357												
64	64	126	126	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	358											4	
64	64	253/2	253/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	359											4	
64	64	127	127	0.0	1/4	1/4	Spanner	2/4	1	1	0															
64	64	127	127	0.0	1/4	1/4	Spanner	2/4	1	1	0													2		
64	64	127	127	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	360										2		
64	64	255/2	255/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	361										2		
64	64	126	126	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	362												
65	65	128	128	0.0	0	0	StaffText	2/4	1	1	0						<i>a tempo</i>							2		
65	65	128	128	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	363										2		
65	65	257/2	257/2	0.0	1/8	1/8	Spanner	2/4	1	1	0															
65	65	257/2	257/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	364												
65	65	129	129	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	365												
65	65	259/2	259/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	366												
65	65	128	128	0.0	0	0	Dynamic	2/4	2	1	0				sf											
65	65	128	128	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	367												
66	66	130	130	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	368												
66	66	261/2	261/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	369												
66	66	131	131	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	370												
66	66	263/2	263/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	371												
66	66	130	130	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	372												
67	67	132	132	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	373												
67	67	265/2	265/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	374												
67	67	133	133	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	375												
67	67	267/2	267/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	376												
67	67	132	132	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	377												
68	68	134	134	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	378												
68	68	269/2	269/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	379												
68	68	135	135	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	380												
68	68	271/2	271/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	381												
68	68	134	134	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	382												
68	68	135	135	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	383		articStaccatoAbove							3			
68	68	271/2	271/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	384		articStaccatoAbove							3			
69	69	136	136	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	385												
69	69	273/2	273/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	386												
69	69	137	137	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	387												
69	69	275/2	275/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	388												
69	69	136	136	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	389		articStaccatoAbove							3			
69	69	273/2	273/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	390		articStaccatoAbove							3			
69	69	137	137	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	391		articStaccatoAbove							3			
69	69	275/2	275/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	392		articStaccatoAbove							3			
70	70	138	138	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	393												
70	70	277/2	277/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	394												
70	70	139	139	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	395												
70	70	279/2	279/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	396												
70	70	138	138	0.6666666666666666	0	0	Chord	2/4	2	1	1/6	1/4	2/3	397		articTenutoAbove							3			
70	70	416/3	416/3	0.6666666666666666	1/6	1/6	Chord	2/4	2	1	1/6	1/4	2/3	398		articTenutoBelow							3			
70	70	418/3	418/3	0.6666666666666666	1/3	1/3	Chord	2/4	2	1	1/6	1/4	2/3	399		articTenutoBelow										
71	71	140	140	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	400												
71	71	281/2	281/2	0.0	1/8	1/8	StaffText	2/4	1	1	0						<i>cresc.</i>									
71	71	281/2	281/2	0.0	1/8	1/8	Spanner	2/4	1	1	0														5	
71	71	281/2	281/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	401											5	
71	71	141	141	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	402											5	
71	71	283/2	283/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	403											5	
71	71	140	140	0.0	0	0	Dynamic	2/4	2	1	0				sf											
71	71	140	140	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	404									4			
72	72	142	142	0.0	0	0	Spanner	2/4	1	1	0															
72	72	142	142	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	405												
72	72	285/2	285/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	406												
72	72	143	143	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	407												
72	72	287/2	287/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	408												
72	72	142	142	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	409									4			
73	73	144	144	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	410												
73	73	289/2	289/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	411												
73	73	145	145	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	412												
73	73	291/2	291/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	413												
73	73	144	144	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	414									4			
74	74	146	146	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	415												
74	74	293/2	293/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	416												
74	74	147	147	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	417												
74	74	295/2	295/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	418												
74	74	146	146	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	419									4			
74	74	147	147	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	420		articStaccatoBelow							4			
74	74	295/2	295/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	421		articStaccatoBelow										
75	75	148	148	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	422												
75	75	297/2	297/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	423												
75	75	149	149	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	424												
75	75	299/2	299/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	425												
75	75	148	148	0.6666666666666666	0	0	Chord	2/4	2	1	1/6	1/4	2/3	426		articTenutoBelow							5			
75	75	446/3	446/3	0.6666666666666666	1/6	1/6	Chord	2/4	2	1	1/6	1/4	2/3	427		articTenutoBelow							5			
75	75	448/3	448/3	0.6666666666666666	1/3	1/3	Chord	2/4	2	1	1/6	1/4	2/3	428		articTenutoBelow							5			
76	76	150	150	0.0	0	0	StaffText	2/4	1	1	0						<i>poco  rit.</i>									
76	76	150	150	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	429												
76	76	301/2	301/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	430												
76	76	151	151	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	431												
76	76	303/2	303/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	432												
76	76	150	150	0.0	0	0	Spanner	2/4	2	1	0												5	3		
76	76	150	150	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	433									5	3		
76	76	151	151	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	434										3		
77	77	152	152	0.0	0	0	StaffText	2/4	1	1	0						<i>a tempo</i>									
77	77	152	152	0.0	0	0	Dynamic	2/4	1	1	0				mf											
77	77	152	152	0.0	0	0	Spanner	2/4	1	1	0															0
77	77	152	152	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	435		articAccentAbove										0
77	77	305/2	305/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	436												0
77	77	153	153	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	437												0
77	77	307/2	307/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	438												0
77	77	152	152	0.0	0	0	Dynamic	2/4	2	1	0				sf											
77	77	152	152	0.0	0	0	Spanner	2/4	2	1	0															
77	77	152	152	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	439												
78	78	154	154	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	440		articAccentAbove										0
78	78	309/2	309/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	441												0
78	78	155	155	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	442												0
78	78	311/2	311/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	443												0
78	78	154	154	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	444												
79	79	156	156	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	445		articAccentAbove										0
79	79	313/2	313/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	446												0
79	79	157	157	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	447												0
79	79	315/2	315/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	448												0
79	79	156	156	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	449												
80	80	158	158	0.0	0	0	StaffText	2/4	1	1	0						<i>dim.</i>									0
80	80	158	158	0.0	0	0	Spanner	2/4	1	1	0													4		0
80	80	158	158	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	450										4		0
80	80	317/2	317/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	451										4		0
80	80	159	159	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	452										4		0
80	80	319/2	319/2	0.0	3/8	3/8	Spanner	2/4	1	1	0															0
80	80	319/2	319/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	453												0
80	80	158	158	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	454												
81	81	160	160	0.0	0	0	Spanner	2/4	1	1	0															
81	81	160	160	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	455		articAccentAbove										
81	81	321/2	321/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	456												
81	81	161	161	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	457												
81	81	323/2	323/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	458												
81	81	160	160	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	459												
82	82	162	162	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	460												
82	82	325/2	325/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	461												
82	82	163	163	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	462												
82	82	327/2	327/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	463												
82	82	162	162	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	464												
83	83	164	164	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	465		articAccentAbove										
83	83	329/2	329/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	466												
83	83	165	165	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	467												
83	83	331/2	331/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	468												
83	83	164	164	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	469												
84	84	166	166	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	470												
84	84	333/2	333/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	471												
84	84	167	167	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	472												
84	84	335/2	335/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	473												
84	84	166	166	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	474												
85	85	168	168	0.0	0	0	Dynamic	2/4	1	1	0				p											
85	85	168	168	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	475		articAccentBelow										
85	85	337/2	337/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	476												
85	85	169	169	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	477												
85	85	339/2	339/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	478												
85	85	168	168	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	479												
86	86	170	170	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	480												
86	86	341/2	341/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	481												
86	86	171	171	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	482												
86	86	343/2	343/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	483												
86	86	170	170	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	484												
87	87	172	172	0.0	0	0	Dynamic	2/4	2	1	0				pp											
87	87	172	172	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	485												
88	88	174	174	0.0	0	0	Dynamic	2/4	1	1	0				pp											
88	88	174	174	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	486		articAccentBelow										
88	88	349/2	349/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	487												
88	88	175	175	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	488												
88	88	351/2	351/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	489												
88	88	174	174	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	490												
89	89	176	176	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	491												
89	89	353/2	353/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	492												
89	89	177	177	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	493												
89	89	355/2	355/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	494												
89	89	176	176	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	495												
90	90	178	178	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	496												
