mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	decrescendo_hairpin	crescendo_hairpin	TextLine
7	7	20	20	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	56											
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	57											
7	7	18	18	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	58											
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	59											
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	60										3	
8	8	43/2	43/2	0.0	1/8	1/8	Spanner	3/4	1	1	0														
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	61											
8	8	22	22	0.0	1/4	1/4	Dynamic	3/4	1	1	0				ff										
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	62											
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	63											
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	64											
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	65											
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	66											
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	67		articTenutoAbove									
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	3/4	2	1	0														0
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	68											0
8	8	23	23	0.0	1/2	1/2	Spanner	3/4	2	1	0														
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	69											
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	70											
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0				p										
9	9	24	24	0.0	0	0	StaffText	3/4	1	1	0						<i>poco cresc.</i>								
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	71											
9	9	25	25	0.0	1/4	1/4	Spanner	3/4	1	1	0													4	
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	72										4	
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	73										4	
9	9	53/2	53/2	0.0	5/8	5/8	Spanner	3/4	1	1	0														
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	74											
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	75											
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	76											
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	77											
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	78											
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	79											
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	80											
10	10	28	28	0.0	1/4	1/4	Spanner	3/4	1	1	0												1		
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	81									1		
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	82									1		
10	10	27	27	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	83									1		
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	84									1		
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	85									1		
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	86											
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	87											
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	88											
11	11	30	30	0.0	0	0	Dynamic	3/4	1	1	0				p										
11	11	30	30	0.0	0	0	StaffText	3/4	1	1	0						<i>cresc. molto</i>								
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0														
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0													5	
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	89										5	
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	90										5	
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	91										5	
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	92										5	
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	93											
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	94											
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	95											
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	96											
11	11	30	30	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	97											
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	98											
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	99										5	
12	12	67/2	67/2	0.0	1/8	1/8	Spanner	3/4	1	1	0														
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	100											
12	12	34	34	0.0	1/4	1/4	Dynamic	3/4	1	1	0				ff										
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	101											
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	102											
12	12	33	33	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	103											
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	104											
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	105											
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	106											
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	3/4	2	1	0														1
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	107											1
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	108											1
12	12	36	36	0.0	3/4	3/4	Spanner	3/4	2	1	0														
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	109											
